City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,48.99,86,39,9.28,scattered clouds
1,Bambous Virieux,MU,-20.34,57.76,69.8,77,40,8.05,scattered clouds
2,Port Elizabeth,ZA,-33.92,25.57,57.2,93,40,4.7,scattered clouds
3,Hilo,US,19.73,-155.09,86.0,66,1,10.29,clear sky
4,Barcelos,PT,41.54,-8.62,64.99,88,1,8.05,clear sky
5,Kamenka,RU,51.32,42.77,54.0,72,69,1.99,broken clouds
6,Maneadero,MX,31.72,-116.57,82.0,78,3,3.0,light rain
7,Wichita Falls,US,33.91,-98.49,95.0,28,1,9.17,clear sky
8,Jilove,CZ,50.76,14.1,62.01,97,31,4.27,scattered clouds
9,Christchurch,NZ,-43.53,172.63,53.01,100,100,5.82,drizzle
10,Tuktoyaktuk,CA,69.45,-133.04,55.4,82,20,11.41,few clouds
11,Lasa,IT,46.62,10.7,59.0,100,5,2.24,clear sky
12,Richards Bay,ZA,-28.78,32.04,64.45,68,0,12.1,clear sky
13,Barrow,US,71.29,-156.79,42.8,87,90,21.92,overcast clouds
14,Georgetown,MY,5.41,100.34,80.6,94,20,3.36,few clouds
15,Mount Gambier,AU,-37.83,140.77,44.6,87,40,8.05,scattered clouds
16,Cherskiy,RU,68.75,161.3,36.28,94,100,23.26,light rain
17,Saint-Philippe,RE,-21.36,55.77,64.4,63,35,3.36,scattered clouds
18,Jamestown,US,42.1,-79.24,80.6,47,1,6.93,clear sky
19,Jibuti,DJ,11.5,42.5,91.4,63,1,5.59,clear sky
20,Mataura,NZ,-46.19,168.86,46.99,97,98,4.0,overcast clouds
21,Hermanus,ZA,-34.42,19.23,57.0,86,14,1.99,few clouds
22,Vaini,TO,-21.2,-175.2,78.8,88,75,9.17,broken clouds
23,Cururupu,BR,-1.83,-44.87,75.29,91,18,3.44,few clouds
24,Ilulissat,GL,69.22,-51.1,44.6,70,0,3.36,clear sky
25,Albany,US,42.6,-73.97,84.0,50,0,6.49,clear sky
26,Aklavik,CA,68.22,-135.01,55.4,82,40,2.24,scattered clouds
27,Atuona,PF,-9.8,-139.03,78.26,79,43,18.23,light rain
28,Sao Filipe,CV,14.9,-24.5,79.16,79,39,4.94,scattered clouds
29,Starobesheve,UA,47.75,38.03,59.14,52,15,9.6,few clouds
30,Kalmunai,LK,7.42,81.82,79.12,77,34,10.96,scattered clouds
31,Norman Wells,CA,65.28,-126.83,68.0,52,40,13.87,scattered clouds
32,Bathsheba,BB,13.22,-59.52,84.2,74,20,9.17,few clouds
33,Port Alfred,ZA,-33.59,26.89,59.29,71,0,11.5,clear sky
34,Saskylakh,RU,71.92,114.08,43.18,64,5,4.9,clear sky
35,Sortavala,RU,61.71,30.69,62.19,85,95,14.43,moderate rain
36,Rikitea,PF,-23.12,-134.97,67.01,73,87,18.52,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,44.6,78,75,19.46,light intensity drizzle
38,Longyearbyen,SJ,78.22,15.64,39.2,80,40,9.17,scattered clouds
39,Alpena,US,45.06,-83.43,75.2,73,1,5.82,clear sky
40,Honiara,SB,-9.43,159.95,84.2,74,40,2.24,scattered clouds
41,Bengkulu,ID,-3.8,102.27,75.07,87,65,3.49,broken clouds
42,Yarada,IN,17.65,83.27,78.8,94,75,5.82,mist
43,Zbarazh,UA,49.66,25.78,62.4,78,0,8.25,clear sky
44,Svetlyy,RU,54.67,20.13,68.0,94,75,4.47,broken clouds
45,Senanga,ZM,-16.12,23.27,68.14,40,0,10.11,clear sky
46,Kavieng,PG,-2.57,150.8,82.89,71,9,2.89,clear sky
47,Tasiilaq,GL,65.61,-37.64,46.4,52,58,9.17,broken clouds
48,Caravelas,BR,-17.71,-39.25,70.83,81,100,11.41,overcast clouds
49,Port Lincoln,AU,-34.73,135.87,51.13,63,53,9.26,broken clouds
50,Provideniya,RU,64.38,-173.3,51.58,82,100,6.15,light rain
51,Listvyanskiy,RU,54.44,83.5,52.9,85,100,5.77,overcast clouds
52,Kodiak,US,57.79,-152.41,62.87,68,23,2.86,few clouds
53,Pevek,RU,69.7,170.31,38.17,98,100,4.81,light rain
54,Kapaa,US,22.08,-159.32,87.01,62,20,12.75,few clouds
55,Qaanaaq,GL,77.48,-69.36,37.94,85,100,2.04,overcast clouds
56,Punta Arenas,CL,-53.15,-70.92,37.4,74,20,20.8,few clouds
57,Avarua,CK,-21.21,-159.78,77.0,73,10,14.99,clear sky
58,Luanda,AO,-8.84,13.23,71.6,88,75,3.36,broken clouds
59,Leningradskiy,RU,69.38,178.42,49.93,74,6,5.66,clear sky
60,Muros,ES,42.78,-9.06,63.0,84,2,1.01,clear sky
61,Nizwa,OM,22.93,57.53,85.01,54,96,2.21,overcast clouds
62,Severo-Kurilsk,RU,50.68,156.12,53.33,77,33,12.8,scattered clouds
63,Tiksi,RU,71.69,128.87,40.73,90,100,3.6,light rain
64,Gainesville,US,29.65,-82.32,81.0,83,90,9.17,overcast clouds
65,Pitimbu,BR,-7.47,-34.81,75.2,88,20,4.7,few clouds
66,Castro,BR,-24.79,-50.01,44.37,93,12,8.01,few clouds
67,Am Timan,TD,11.03,20.28,72.39,95,100,1.66,overcast clouds
68,Fairbanks,US,64.84,-147.72,73.0,46,90,6.93,overcast clouds
69,Hobart,AU,-42.88,147.33,48.0,81,75,9.17,light intensity shower rain
70,Cayenne,GF,4.93,-52.33,82.4,74,3,3.36,clear sky
71,Marsassoum,SN,12.83,-15.98,75.92,92,90,5.93,overcast clouds
72,Faanui,PF,-16.48,-151.75,76.95,78,11,21.61,few clouds
73,Lebu,CL,-37.62,-73.65,47.71,88,0,7.23,clear sky
74,Puerto Penasco,MX,31.32,-113.53,88.0,77,0,18.01,clear sky
75,Srednekolymsk,RU,67.45,153.68,36.28,94,100,11.27,overcast clouds
76,Hithadhoo,MV,-0.6,73.08,83.12,79,7,14.83,clear sky
77,Rocha,UY,-34.48,-54.33,45.27,73,0,5.06,clear sky
78,Dawei,MM,14.08,98.2,76.24,91,100,4.0,moderate rain
79,Tessalit,ML,20.2,1.01,96.24,20,78,9.4,broken clouds
80,Bluff,NZ,-46.6,168.33,46.0,98,100,4.0,overcast clouds
81,Saldanha,ZA,-33.01,17.94,50.0,87,0,4.7,clear sky
82,Urozhaynoye,RU,44.79,44.92,61.9,76,65,6.44,broken clouds
83,Flinders,AU,-34.58,150.86,53.01,52,2,13.0,clear sky
84,Oskarshamn,SE,57.26,16.45,60.01,86,35,1.99,scattered clouds
85,Timmins,CA,48.47,-81.33,75.2,44,75,6.93,broken clouds
86,Bousso,TD,10.48,16.71,71.91,92,100,2.93,overcast clouds
87,Zhaozhou,CN,45.68,125.32,64.76,78,100,6.85,overcast clouds
88,Anori,BR,-3.77,-61.64,80.76,43,0,2.28,clear sky
89,Khatanga,RU,71.97,102.5,51.91,68,1,6.73,clear sky
90,Bredasdorp,ZA,-34.53,20.04,51.8,87,8,4.7,clear sky
91,Dikson,RU,73.51,80.55,47.98,75,96,7.45,overcast clouds
92,Kannapolis,US,35.49,-80.62,82.0,74,75,6.93,broken clouds
93,Geraldton,AU,-28.77,114.6,59.0,93,90,4.7,overcast clouds
94,Joao Pinheiro,BR,-17.74,-46.17,59.99,85,94,11.07,overcast clouds
95,Oranjemund,NA,-28.55,16.43,58.48,54,0,4.74,clear sky
96,Cassilandia,BR,-19.11,-51.73,66.15,38,38,4.76,scattered clouds
97,Port Blair,IN,11.67,92.75,82.17,78,100,11.34,overcast clouds
98,Mnogovershinnyy,RU,53.94,139.92,58.06,63,47,1.59,scattered clouds
99,Tamandare,BR,-8.76,-35.1,74.39,84,25,8.81,scattered clouds
100,Nikolskoye,RU,59.7,30.79,64.4,68,40,6.71,scattered clouds
101,Baia De Aries,RO,46.38,23.28,66.2,88,0,4.7,clear sky
102,Eyl,SO,7.98,49.82,77.07,66,100,26.53,overcast clouds
103,Bireun,ID,5.2,96.7,76.23,82,91,4.76,overcast clouds
104,Corn Island,NI,12.17,-83.04,82.56,75,2,7.2,clear sky
105,Gat,IL,31.61,34.76,78.01,34,1,1.83,clear sky
106,Champasak,LA,14.75,106.0,72.21,98,90,2.82,moderate rain
107,Kahului,US,20.89,-156.47,87.8,58,40,25.28,scattered clouds
108,Camacha,PT,33.08,-16.33,73.4,73,20,12.75,few clouds
109,Mikkeli,FI,61.69,27.27,62.6,93,90,6.93,heavy intensity rain
110,Agadez,NE,19.75,10.25,93.04,33,75,10.11,broken clouds
111,Rosamorada,MX,22.12,-105.21,87.39,74,48,7.7,scattered clouds
112,Namatanai,PG,-3.67,152.43,82.4,73,64,2.68,light rain
113,San Patricio,MX,19.22,-104.7,86.0,74,75,11.41,broken clouds
114,Bud,US,39.45,-86.18,84.0,58,1,4.9,clear sky
115,Lompoc,US,34.64,-120.46,80.01,68,1,13.87,clear sky
116,Cherepanovo,RU,54.22,83.38,52.97,84,100,5.99,overcast clouds
117,Yellowknife,CA,62.46,-114.35,59.0,62,75,12.75,broken clouds
118,Erdenet,MN,49.03,104.08,52.27,78,26,3.2,scattered clouds
119,Sipe Sipe,BO,-17.45,-66.38,69.8,32,20,9.17,few clouds
120,Auki,SB,-8.77,160.7,84.09,71,100,6.02,light rain
121,Katherine,AU,-14.47,132.27,64.4,45,0,5.82,clear sky
122,Senador Guiomard,BR,-10.15,-67.74,68.0,52,0,4.7,clear sky
123,Yulara,AU,-25.24,130.99,48.2,49,0,8.05,clear sky
124,Chokurdakh,RU,70.63,147.92,35.67,93,99,6.13,overcast clouds
125,Cape Town,ZA,-33.93,18.42,51.01,93,2,1.12,clear sky
126,Kaitangata,NZ,-46.28,169.85,51.01,83,56,17.0,broken clouds
127,College,US,64.86,-147.8,73.0,46,40,5.82,scattered clouds
128,Coahuayana,MX,18.73,-103.68,80.6,83,75,11.41,broken clouds
129,Butaritari,KI,3.07,172.79,83.16,63,100,7.07,overcast clouds
130,Maceio,BR,-9.67,-35.74,71.6,88,20,3.36,few clouds
131,Phan Thiet,VN,10.93,108.1,78.1,88,99,6.4,light rain
132,Arraial Do Cabo,BR,-22.97,-42.03,68.0,49,75,8.05,broken clouds
133,Westport,US,41.14,-73.36,84.99,62,1,11.41,clear sky
134,Zelenogorskiy,RU,55.03,87.0,51.8,93,88,4.47,overcast clouds
135,Porto Novo,BJ,6.5,2.6,75.2,94,20,5.82,few clouds
136,Maua,BR,-23.67,-46.46,51.01,87,75,10.29,broken clouds
137,Mar Del Plata,AR,-38.0,-57.56,55.99,65,0,6.93,clear sky
138,Dolores,AR,-36.31,-57.68,46.94,65,0,9.98,clear sky
139,Antalaha,MG,-14.9,50.28,65.91,84,42,7.94,scattered clouds
140,Tabou,CI,4.42,-7.35,75.83,89,75,10.4,light rain
141,Vostok,RU,46.49,135.88,61.23,70,100,2.37,overcast clouds
142,Lugo,ES,43.0,-7.5,54.0,95,15,1.99,few clouds
143,Okato,NZ,-39.2,173.88,55.0,89,72,14.0,light rain
144,Belmonte,BR,-15.86,-38.88,69.8,77,90,4.7,overcast clouds
145,Lavrentiya,RU,65.58,-171.0,47.08,94,100,6.55,light rain
146,Lagoa,PT,39.05,-27.98,72.48,83,57,10.13,broken clouds
147,Markala,ML,13.7,-6.07,77.52,78,81,4.38,broken clouds
148,Kanniyakumari,IN,8.08,77.57,79.47,85,89,13.76,overcast clouds
149,Jutai,BR,-5.18,-68.9,72.75,62,7,1.43,clear sky
150,Torbay,CA,47.67,-52.73,64.4,59,20,6.93,few clouds
151,Krasnovishersk,RU,60.41,57.08,46.36,95,36,3.02,scattered clouds
152,Kuldur,RU,49.22,131.63,64.87,69,69,2.08,broken clouds
153,Tupiza,BO,-21.45,-65.72,55.06,24,0,13.69,clear sky
154,Duminichi,RU,53.93,35.11,54.81,80,23,3.04,few clouds
155,Taoudenni,ML,22.68,-3.98,103.57,8,50,9.64,scattered clouds
156,Bethel,US,41.37,-73.41,86.0,48,1,8.05,clear sky
157,Melfi,IT,41.0,15.65,78.8,57,5,1.12,clear sky
158,Necochea,AR,-38.55,-58.74,48.0,61,0,8.01,clear sky
159,Chase,CA,50.82,-119.69,78.8,26,40,5.82,scattered clouds
160,New Norfolk,AU,-42.78,147.06,48.0,87,90,1.99,overcast clouds
161,Sangar,RU,63.92,127.47,47.93,58,20,2.57,few clouds
162,Haines Junction,CA,60.75,-137.51,65.35,66,100,2.46,light rain
163,Plyussa,RU,58.43,29.37,64.15,75,100,9.75,overcast clouds
164,Norrtalje,SE,59.76,18.7,66.99,74,43,8.01,scattered clouds
165,Praia,CV,14.92,-23.51,80.6,78,20,8.05,few clouds
166,Skibbereen,IE,51.55,-9.27,57.2,87,75,11.41,broken clouds
167,Hailey,US,43.52,-114.32,82.4,30,5,20.8,smoke
168,Great Yarmouth,GB,52.61,1.73,64.0,70,20,4.0,few clouds
169,Pringsewu,ID,-5.36,104.97,72.43,85,39,0.38,scattered clouds
170,Liepaja,LV,56.54,21.04,66.2,100,100,4.7,overcast clouds
171,Terney,RU,45.05,136.61,66.85,67,96,3.49,overcast clouds
172,Xining,CN,36.62,101.77,56.64,83,100,2.04,light rain
173,Vestmannaeyjar,IS,63.44,-20.27,51.94,76,9,8.08,clear sky
174,Coquimbo,CL,-29.95,-71.34,50.0,93,90,4.7,mist
175,Narsaq,GL,60.92,-46.05,51.8,66,20,5.82,few clouds
176,Garowe,SO,8.41,48.48,78.39,56,96,23.91,overcast clouds
177,Balclutha,NZ,-46.23,169.75,51.01,83,68,10.0,broken clouds
178,Kailua,US,21.4,-157.74,84.2,62,90,12.75,overcast clouds
179,Zhangye,CN,38.93,100.45,62.2,68,99,5.77,overcast clouds
180,Maumere,ID,-8.62,122.21,77.2,71,41,3.2,scattered clouds
181,Whitehorse,CA,60.72,-135.05,64.4,68,75,5.82,light intensity shower rain
182,Itigi,TZ,-5.7,34.48,60.71,64,13,9.06,few clouds
183,Vila,PT,42.03,-8.16,64.0,93,40,5.82,scattered clouds
184,Prince Rupert,CA,54.32,-130.32,59.0,82,90,10.29,overcast clouds
185,San Quintin,MX,30.48,-115.95,78.62,67,1,8.66,clear sky
186,Marion,US,39.77,-86.16,84.99,48,40,6.93,scattered clouds
187,Kozhva,RU,65.11,57.05,46.67,91,55,5.28,broken clouds
188,Conceicao Do Araguaia,BR,-8.26,-49.26,86.38,29,58,4.27,broken clouds
189,Sioux Lookout,CA,50.1,-91.92,69.8,88,90,3.36,thunderstorm with light rain
190,Oktyabrskiy,RU,54.48,53.47,48.69,90,0,3.13,clear sky
191,Elbeuf,FR,49.29,1.0,62.01,93,90,9.17,overcast clouds
192,Murayama,JP,38.52,140.33,77.0,94,75,3.36,broken clouds
193,Ribeira Grande,PT,38.52,-28.7,72.97,80,40,9.55,scattered clouds
194,Nemuro,JP,43.32,145.57,62.76,78,2,8.5,clear sky
195,Oyama,JP,36.3,139.8,82.99,88,75,4.7,mist
196,Olinda,BR,-8.01,-34.86,75.2,88,40,4.7,scattered clouds
197,Kuryk,KZ,43.2,51.65,69.13,54,74,22.84,broken clouds
198,Plettenberg Bay,ZA,-34.05,23.37,54.77,85,0,6.85,clear sky
199,Ixtapa,MX,20.7,-105.2,89.6,70,20,11.41,few clouds
200,Atambua,ID,-9.11,124.89,73.35,49,23,3.62,few clouds
201,San Jeronimo,PE,-11.95,-75.28,55.47,56,57,5.86,broken clouds
202,Thompson,CA,55.74,-97.86,53.6,66,75,10.29,broken clouds
203,Zhigansk,RU,66.77,123.37,42.46,74,64,17.69,broken clouds
204,Beloha,MG,-25.17,45.05,62.55,82,7,13.31,clear sky
205,Piney Green,US,34.72,-77.32,82.99,69,1,4.7,clear sky
206,Moose Factory,CA,51.26,-80.61,62.6,82,75,9.17,broken clouds
207,Asyut,EG,27.18,31.18,81.23,40,0,12.01,clear sky
208,Te Anau,NZ,-45.42,167.72,45.86,79,100,0.22,overcast clouds
209,Alyangula,AU,-13.85,136.42,66.2,88,0,19.28,clear sky
210,Brigantine,US,39.41,-74.36,82.4,58,1,10.29,clear sky
211,Ancud,CL,-41.87,-73.82,48.99,87,99,10.29,overcast clouds
212,Pangody,RU,65.85,74.49,53.69,87,100,11.74,overcast clouds
213,Antequera,ES,37.02,-4.56,78.01,69,0,4.7,clear sky
214,Nome,US,64.5,-165.41,55.4,87,90,13.87,overcast clouds
215,Nelson Bay,AU,-32.72,152.15,54.0,57,60,25.28,broken clouds
216,Quibdo,CO,5.69,-76.66,76.39,93,83,3.71,moderate rain
217,Cidreira,BR,-30.18,-50.21,53.56,73,0,6.13,clear sky
218,Clyde River,CA,70.47,-68.59,49.82,71,95,6.58,overcast clouds
219,East London,ZA,-33.02,27.91,64.81,48,0,12.75,clear sky
220,Yuzhou,CN,34.16,113.46,71.6,100,90,2.24,mist
221,Anchorage,US,61.22,-149.9,73.0,43,40,8.05,scattered clouds
222,Lakes Entrance,AU,-37.88,147.98,51.01,75,80,1.99,light rain
223,Sao Felix Do Xingu,BR,-6.64,-51.99,82.58,30,10,0.65,clear sky
224,Yerbogachen,RU,61.28,108.01,50.97,64,22,7.14,few clouds
225,Valparaiso,CL,-33.04,-71.63,52.0,100,90,16.11,overcast clouds
226,Sept-Iles,CA,50.2,-66.38,62.01,67,75,4.7,broken clouds
227,Mettur,IN,11.8,77.8,77.7,83,93,1.5,moderate rain
228,Iqaluit,CA,63.75,-68.51,44.6,87,20,8.05,few clouds
229,Nanortalik,GL,60.14,-45.24,45.93,77,5,1.66,clear sky
230,Tuatapere,NZ,-46.13,167.68,46.99,97,100,4.0,overcast clouds
231,Passo De Camaragibe,BR,-9.24,-35.49,71.6,88,20,3.36,few clouds
232,Tyret Pervaya,RU,53.67,102.31,53.73,93,89,12.55,overcast clouds
233,Pinotepa Nacional,MX,16.32,-98.02,80.55,80,82,3.8,light rain
234,Capitao Poco,BR,-1.75,-47.06,75.56,90,75,7.31,broken clouds
235,Carnarvon,AU,-24.87,113.63,64.4,77,92,9.17,overcast clouds
236,Roald,NO,62.58,6.13,55.99,87,100,17.22,drizzle
237,Freeport,US,40.66,-73.58,84.0,69,1,10.29,clear sky
238,Tatawin,TN,32.93,10.45,84.2,28,0,3.36,clear sky
